,step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
0,1.0,49.4,234.6,0.17967914438502672,-11.107142857142858,241.81333333333336,4.6213203435596455,21.50000000000002
1,2.0,39.6,262.2,0.0,-0.04487179487179487,0.6125,3.1622776601683773,19.999999999999996
2,3.0,67.0,386.4,0.4666666666666666,-12.617647058823529,419.1621808143547,7.682711158969578,61.631592093367416
3,4.0,79.8,1171.6,4.754545454545455,-1.6851851851851851,535.128078817734,-0.4924163838132908,0.6236026942483888
4,5.0,134.0,1854.6,2.6931818181818183,-18.174312384393684,907.3358769256204,2.9032170122867678,19.213520582819445
5,6.0,71.8,675.2,5.3,-0.4102564102564103,207.50656814449917,0.5116282135393021,0.0959337591089997
6,7.0,62.2,304.8,10.623076923076923,-4.4,1111.0054945054944,0.0761301991820716,-0.2646881652289987
7,8.0,61.2,100.4,11.0,0.0,1980.3333333333333,0.0,0.0
8,9.0,57.2,120.2,0.0,0.0,0.0,0.0,0.0
9,10.0,79.2,688.0,1.8533333333333335,-6.25,459.28508771929825,-0.0762326189506444,-0.33466401787642946
10,11.0,45.2,91.4,0.0,0.0,0.0,0.0,0.0
11,12.0,47.4,67.0,0.0,-2.3333333333333335,12.25,0.0,
12,13.0,38.0,62.8,0.9,0.0,13.5,0.0,
13,14.0,50.0,141.8,1.35,-5.0,37.766666666666666,0.25887376136291623,-0.18666125517941135
14,15.0,59.2,209.0,1.8,-1.5,28.0,-0.4676097647914122,0.0
15,16.0,76.8,141.0,3.8,-36.25,1884.3333333333333,-0.6238799045137255,0.0
16,17.0,64.4,214.6,6.7666666666666675,-2.4,276.46666666666664,-0.0780336249073127,0.5
17,18.0,93.8,222.6,20.419999999999998,-17.4,2516.5833333333335,1.2084976638532747,5.333333333333333
18,19.0,54.6,92.6,0.4,0.0,4.0,0.0,0.0
19,20.0,68.0,102.4,5.7,-24.0,1388.25,,
20,21.0,68.4,138.8,0.0,-25.0,1666.6666666666667,0.0,0.0
21,22.0,52.2,109.2,1.3,0.0,28.166666666666668,0.0,0.0
22,23.0,53.8,98.6,6.7,-1.25,274.2083333333333,0.7726962628475122,
23,24.0,75.8,127.8,7.4,-8.0,1516.0,-1.408852992260016,
