,step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
0,1.0,79.5,333.75,2.992857142857143,-3.625,177.88095238095238,-0.48088328370279343,-1.0619358309151896
1,2.0,64.25,241.0,0.925,-4.875,68.75757575757576,-0.1181873680570516,-1.3057823129251704
2,3.0,73.0,115.75,1.2916666666666667,0.0,20.75,0.0,
3,4.0,72.75,412.0,6.175,-0.21875,510.9238095238095,-0.7110323117896459,1.8176352884149505
4,5.0,80.5,176.25,3.5,-6.375,89.33333333333333,0.1486521462903184,-4.940547642509481
5,6.0,77.25,114.75,4.5,-7.0,357.3333333333333,1.3896361387064902,
6,7.0,108.0,394.0,1.4166666666666667,-21.73076923076923,1876.5145833333333,1.0082525569352712,-0.4884619056531307
7,8.0,76.5,148.0,1.375,-3.75,27.0,0.0,
8,9.0,82.25,97.5,9.75,0.0,3042.0,,
9,10.0,86.25,134.25,2.375,-0.25,90.5,,
10,11.0,106.0,136.25,9.875,-3.75,1616.5,,
11,12.0,94.75,126.0,0.0,-16.0,904.0,,
12,13.0,88.33333333333333,88.33333333333333,0.0,0.0,,,
13,14.0,78.33333333333333,78.33333333333333,0.0,0.0,,,
14,15.0,90.66666666666667,114.33333333333333,3.3333333333333335,0.0,200.0,,
15,16.0,103.0,103.0,0.0,0.0,,,
16,17.0,83.33333333333333,113.0,0.3333333333333333,0.0,2.0,,
17,18.0,119.33333333333333,119.33333333333333,0.0,0.0,,,
18,19.0,95.5,129.0,13.0,0.0,1352.0,,
19,20.0,85.0,126.5,0.0,-7.5,112.5,,
20,21.0,73.0,103.0,0.0,-3.5,24.5,,
21,22.0,66.5,95.0,0.75,0.0,4.5,,
22,23.0,61.0,260.0,0.16666666666666666,-2.625,6.392857142857143,0.3741657386773782,-2.8000000000000123
23,24.0,64.5,64.5,0.0,0.0,,,
24,25.0,88.5,148.5,14.25,0.0,731.25,,
25,26.0,130.0,159.5,31.75,0.0,8064.5,,
26,27.0,93.0,163.0,1.75,-19.5,392.5,,
27,28.0,130.5,162.0,32.75,0.0,8580.5,,
28,29.0,101.0,130.0,0.0,-39.5,3120.5,,
29,30.0,83.5,119.0,7.25,0.0,420.5,,
30,31.0,133.5,133.5,0.0,0.0,,,
31,32.0,111.5,177.5,0.0,-11.5,264.5,,
32,33.0,102.5,163.0,20.5,-36.5,2022.3333333333333,1.654332126860299,
33,34.0,154.5,256.0,41.75,-61.0,7466.333333333334,1.218742948452483,
34,35.0,95.5,130.0,0.0,-28.5,1624.5,,
35,36.0,99.0,127.5,19.0,0.0,2888.0,,
36,37.0,67.0,99.5,0.5,0.0,2.0,,
37,38.0,109.0,171.5,0.0,-46.5,1711.25,,
38,39.0,108.0,137.0,22.0,0.0,3872.0,,
39,40.0,72.0,101.0,0.5,0.0,2.0,,
40,41.0,64.0,265.0,0.5,-0.4,1.6428571428571428,0.6105830850825604,-0.0211720226843104
41,42.0,58.5,142.5,0.0,-2.5,6.25,0.0,
42,43.0,64.0,64.0,0.0,0.0,,,
43,44.0,78.5,147.0,0.0,-10.0,62.5,,
44,45.0,72.0,72.0,0.0,0.0,,,
45,46.0,91.5,120.5,0.0,-1.5,4.5,,
46,47.0,72.0,106.0,0.0,-8.0,128.0,,
47,48.0,70.0,70.0,0.0,0.0,,,
48,49.0,64.0,64.0,0.0,0.0,,,
49,50.0,62.0,90.0,0.5,0.0,2.0,,
50,51.0,82.5,120.5,0.0,-11.0,242.0,,
51,52.0,82.0,111.0,1.0,0.0,8.0,,
52,53.0,70.5,70.5,0.0,0.0,,,
53,54.0,96.5,125.0,2.25,0.0,40.5,,
54,55.0,89.5,124.0,10.0,0.0,800.0,,
55,56.0,95.0,125.5,0.0,0.0,0.0,,
56,57.0,92.0,139.5,5.0,0.0,200.0,,
57,58.0,58.5,86.5,0.0,-2.5,12.5,,
58,59.0,72.0,72.0,0.0,0.0,,,
59,60.0,72.5,72.5,0.0,0.0,,,
60,61.0,77.5,107.0,2.25,0.0,40.5,,
61,62.0,75.0,106.5,4.0,0.0,128.0,,
62,63.0,85.5,85.5,0.0,0.0,,,
63,64.0,71.0,71.0,0.0,0.0,,,
64,65.0,74.0,74.0,0.0,0.0,,,
65,66.0,73.5,102.5,1.25,0.0,12.5,,
66,67.0,72.0,72.0,0.0,0.0,,,
67,68.0,79.0,79.0,0.0,0.0,,,
68,69.0,82.5,111.5,0.0,-19.5,760.5,,
69,70.0,71.0,71.0,0.0,0.0,,,
70,71.0,70.0,70.0,0.0,0.0,,,
71,72.0,67.0,123.0,5.5,0.0,60.5,,
72,73.0,67.0,67.0,0.0,0.0,,,
73,74.0,69.0,69.0,0.0,0.0,,,
74,75.0,67.0,67.0,0.0,0.0,,,
75,76.0,67.0,67.0,0.0,0.0,,,
76,77.0,69.0,69.0,0.0,0.0,,,
77,78.0,66.0,122.0,5.0,0.0,50.0,,
78,79.0,79.0,79.0,0.0,0.0,,,
79,80.0,71.0,71.0,0.0,0.0,,,
80,81.0,72.0,72.0,0.0,0.0,,,
81,82.0,71.0,71.0,0.0,0.0,,,
82,83.0,64.0,120.0,4.0,0.0,32.0,,
83,84.0,67.0,67.0,0.0,0.0,,,
84,85.0,65.0,65.0,0.0,0.0,,,
85,86.0,61.0,61.0,0.0,0.0,,,
86,87.0,63.0,63.0,0.0,0.0,,,
87,88.0,60.0,60.0,0.0,0.0,,,
88,89.0,61.0,61.0,0.0,0.0,,,
