step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,9,9,0.0,0.0,,,,24.0,24,
2,8,8,0.0,0.0,,,,24.0,24,
3,16,16,0.0,0.0,,,,20.0,20,
4,9,9,0.0,0.0,,,,20.0,20,
5,15,15,0.0,0.0,,,,20.0,20,
6,22,22,0.0,0.0,,,,20.0,20,
7,15,15,0.0,0.0,,,,19.0,19,
8,15,15,0.0,0.0,,,,19.0,19,
9,15,15,0.0,0.0,,,,19.0,19,
10,7,7,0.0,0.0,,,,21.0,21,
11,426,1870,82.0,-104.0,26159.071428571428,-0.4066935064071698,-1.7368613309912933,25.375,26,0.5535714285714286
12,10,10,0.0,0.0,,,,22.0,22,
13,8,8,0.0,0.0,,,,23.0,23,
14,33,33,0.0,0.0,,,,25.0,25,
15,216,321,104.5,-118.0,10981.0,0.3836354078779933,,25.333333333333332,26,0.33333333333333337
16,88,159,0.0,-17.0,144.5,,,25.0,25,0.0
17,159,230,72.5,-102.0,5546.333333333333,1.1054691140870982,,25.666666666666668,26,0.33333333333333337
18,212,242,0.0,-182.0,16562.0,,,26.0,26,0.0
19,174,189,0.0,-159.0,12640.5,,,26.0,26,0.0
20,249,321,93.0,-240.0,15852.0,1.380554369457843,,26.0,26,0.0
21,204,510,46.5,-32.5,4443.071428571428,1.5558992404792302,2.310902074665175,26.0,26,0.0
22,8,15,0.0,-1.0,0.5,,,26.0,26,0.0
23,67,79,27.5,0.0,1512.5,,,26.0,26,0.0
24,55,146,7.666666666666667,-26.0,153.66666666666666,1.9402712856616977,3.791597065701744,26.0,26,0.0
25,17,17,0.0,0.0,,,,26.0,26,
26,180,217,71.5,0.0,10224.5,,,27.0,27,0.0
27,147,220,37.0,0.0,2738.0,,,27.0,27,0.0
28,186,186,0.0,0.0,,,,27.0,27,
29,182,208,78.0,0.0,12168.0,,,27.0,27,0.0
30,219,219,0.0,0.0,,,,28.0,28,
31,194,230,79.0,0.0,12482.0,,,27.0,27,0.0
32,107,185,0.0,-29.0,420.5,,,27.0,27,0.0
33,223,232,107.0,0.0,22898.0,,,27.0,27,0.0
34,141,149,66.5,0.0,8844.5,,,27.0,27,0.0
35,132,229,17.5,0.0,612.5,,,27.0,27,0.0
36,128,161,0.0,-95.0,4512.5,,,27.0,27,0.0
37,154,154,0.0,0.0,,,,27.0,27,
38,187,200,87.0,0.0,15138.0,,,27.5,28,0.5
39,121,239,0.0,-3.0,4.5,,,27.5,28,0.5
40,104,267,32.5,-25.0,776.9166666666666,0.8705887509895811,0.553822381928212,25.75,26,0.25
41,122,252,56.0,-37.666666666666664,2659.2999999999997,0.7983295440088243,-1.9115204174048008,26.0,26,0.0
42,111,125,48.5,0.0,4704.5,,,26.0,26,0.0
43,76,76,0.0,0.0,,,,26.0,26,
44,183,213,0.0,-153.0,11704.5,,,26.0,26,0.0
45,136,136,0.0,0.0,,,,27.0,27,
46,165,165,0.0,0.0,,,,27.0,27,
47,142,155,64.5,0.0,8320.5,,,26.5,27,0.5
48,114,205,0.0,-23.0,264.5,,,27.0,27,0.0
49,87,127,23.5,0.0,1104.5,,,27.0,27,0.0
50,83,83,0.0,0.0,,,,27.0,27,
51,114,114,0.0,0.0,,,,27.0,27,
52,129,156,51.0,0.0,5202.0,,,27.0,27,0.0
53,97,97,0.0,0.0,,,,27.0,27,
54,105,135,37.5,0.0,2812.5,,,27.0,27,0.0
55,43,43,0.0,0.0,,,,27.0,27,
56,78,78,0.0,0.0,,,,27.0,27,
57,12,12,0.0,0.0,,,,27.0,27,
58,22,22,0.0,0.0,,,,28.0,28,
59,10,10,0.0,0.0,,,,28.0,28,
60,8,8,0.0,0.0,,,,24.0,24,
61,37,37,0.0,0.0,,,,24.0,24,
62,210,245,87.5,0.0,15312.5,,,24.5,25,0.5
63,127,127,0.0,0.0,,,,24.0,24,
64,140,154,63.0,0.0,7938.0,,,24.5,25,0.5
65,68,90,23.0,0.0,1058.0,,,24.5,25,0.5
66,147,147,0.0,0.0,,,,25.0,25,
67,152,161,71.5,0.0,10224.5,,,25.0,25,0.0
68,138,201,37.5,0.0,2812.5,,,25.0,25,0.0
69,124,174,37.0,0.0,2738.0,,,25.5,26,0.5
70,56,70,21.0,0.0,882.0,,,25.0,25,0.0
71,100,159,20.5,0.0,840.5,,,25.5,26,0.5
72,80,149,0.0,-11.0,60.5,,,26.0,26,0.0
73,186,194,89.0,0.0,15842.0,,,25.5,26,0.5
74,61,61,0.0,0.0,,,,26.0,26,
75,187,333,0.0,-41.0,840.5,,,26.0,26,0.0
