id,cid,counter,tData,tData_2,tData_3,tData_4,pData,pData_2,pData_3,pData_4,created_at,updated_at
401,7,1693736755286,28,29,27,27,35,24,0,214,2023-09-03 12:25:55,2023-09-03 12:25:55
402,7,1693736755653,28,28,28,27,35,22,157,3,2023-09-03 12:25:56,2023-09-03 12:25:56
403,7,1693736755964,29,28,28,27,198,21,11,0,2023-09-03 12:25:56,2023-09-03 12:25:56
404,7,1693736756333,29,28,28,26,114,134,0,0,2023-09-03 12:25:56,2023-09-03 12:25:56
405,7,1693736756681,29,29,28,26,36,157,0,43,2023-09-03 12:25:57,2023-09-03 12:25:57
406,7,1693736757053,29,29,27,27,34,27,0,255,2023-09-03 12:25:57,2023-09-03 12:25:57
407,7,1693736757419,28,28,28,27,33,23,126,30,2023-09-03 12:25:57,2023-09-03 12:25:57
408,7,1693736757715,28,28,28,27,118,22,71,0,2023-09-03 12:25:58,2023-09-03 12:25:58
409,7,1693736758090,29,28,28,27,252,36,0,0,2023-09-03 12:25:58,2023-09-03 12:25:58
410,7,1693736758436,29,29,28,26,40,197,0,0,2023-09-03 12:25:58,2023-09-03 12:25:58
411,7,1693736758813,29,29,28,27,35,42,0,162,2023-09-03 12:25:59,2023-09-03 12:25:59
412,7,1693736759173,29,29,28,27,34,24,67,113,2023-09-03 12:25:59,2023-09-03 12:25:59
413,7,1693736759524,29,29,28,27,63,22,112,0,2023-09-03 12:25:59,2023-09-03 12:25:59
414,7,1693736759898,29,28,28,27,254,22,0,0,2023-09-03 12:26:00,2023-09-03 12:26:00
415,7,1693736760199,29,29,28,27,46,167,0,0,2023-09-03 12:26:00,2023-09-03 12:26:00
416,7,1693736760555,29,29,28,27,35,43,0,172,2023-09-03 12:26:00,2023-09-03 12:26:00
417,7,1693736760952,29,29,28,28,34,25,48,166,2023-09-03 12:26:01,2023-09-03 12:26:01
418,7,1693736761322,29,29,28,27,36,22,220,0,2023-09-03 12:26:01,2023-09-03 12:26:01
419,7,1693736761638,29,28,29,27,245,21,7,0,2023-09-03 12:26:02,2023-09-03 12:26:02
420,7,1693736761991,30,29,28,27,154,138,0,0,2023-09-03 12:26:02,2023-09-03 12:26:02
421,7,1693736762316,29,29,28,27,37,176,0,47,2023-09-03 12:26:02,2023-09-03 12:26:02
422,7,1693736762665,29,29,28,27,34,29,0,272,2023-09-03 12:26:03,2023-09-03 12:26:03
423,7,1693736763046,29,29,28,28,33,24,136,24,2023-09-03 12:26:03,2023-09-03 12:26:03
424,7,1693736763402,29,29,29,27,138,22,42,0,2023-09-03 12:26:03,2023-09-03 12:26:03
425,7,1693736763746,30,29,28,27,169,58,0,0,2023-09-03 12:26:04,2023-09-03 12:26:04
426,7,1693736764114,30,29,28,27,37,139,0,0,2023-09-03 12:26:04,2023-09-03 12:26:04
427,7,1693736764423,29,29,28,27,34,26,0,198,2023-09-03 12:26:04,2023-09-03 12:26:04
428,7,1693736764884,29,29,28,28,33,25,61,137,2023-09-03 12:26:05,2023-09-03 12:26:05
429,7,1693736765135,29,29,28,28,34,21,2,4,2023-09-03 12:26:05,2023-09-03 12:26:05
430,7,1693736765500,29,29,28,27,35,20,0,0,2023-09-03 12:26:05,2023-09-03 12:26:05
431,7,1693736765853,29,29,28,27,35,19,0,0,2023-09-03 12:26:06,2023-09-03 12:26:06
432,7,1693736766235,29,29,28,27,34,19,0,0,2023-09-03 12:26:06,2023-09-03 12:26:06
433,7,1693736766596,29,28,28,28,35,19,0,0,2023-09-03 12:26:07,2023-09-03 12:26:07
434,7,1693736766890,29,28,28,29,35,19,0,0,2023-09-03 12:26:07,2023-09-03 12:26:07
435,7,1693736767270,29,28,28,29,34,19,0,0,2023-09-03 12:26:07,2023-09-03 12:26:07
436,7,1693736767630,29,28,28,29,34,19,0,0,2023-09-03 12:26:08,2023-09-03 12:26:08
437,7,1693736767978,29,28,28,29,34,19,0,0,2023-09-03 12:26:08,2023-09-03 12:26:08
438,7,1693736768354,29,28,28,30,34,19,0,0,2023-09-03 12:26:08,2023-09-03 12:26:08
439,7,1693736768698,29,28,28,30,34,19,0,0,2023-09-03 12:26:09,2023-09-03 12:26:09
