step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,348,1388876,0.01927154796058376,-0.017017994858611826,189.40443189999235,11.837091612323796,174.44975594058644,19.29438620223199,35,146.454494877307
2,2484,103946,5.913253012048193,-1.1107580571947344,4681.401287871246,24.458141610872097,726.2515014840418,5.09511077158136,26,446.7830788757647
3,9893,789125,0.9043861258946596,-12.711711711711711,199000.45229190282,21.97055977334874,481.07079027807646,-1690.832034261242,31,240012755.74212945
4,32,103,2.6666666666666665,-13.0,30.916666666666668,-0.22250636768939588,-0.8171693027513598,24.0,24,0.0
5,38,193,3.8,-1.0,49.36666666666667,-1.6886872881375363,2.8998646369658214,24.0,24,0.0
6,71,6103,1.3404255319148937,-0.569620253164557,137.51193650793653,0.36268502750307247,0.9007359610706258,24.0,24,0.0
7,201,124061,1.7843137254901962,-0.06557377049180328,48.336059075361845,6.094401804956881,111.29594852878593,21.188215345485375,39,75.09772365844127
8,102,619,7.4,-14.5,233.61904761904762,-0.6508232681531845,-1.5517738539578714,31.857142857142858,32,0.1428571428571428
9,77,135,0.0,-19.0,180.5,,,29.0,29,0.0
10,109,109,0.0,0.0,,,,29.0,29,
11,107,169,22.5,0.0,1012.5,,,29.0,29,0.0
12,102,191,0.0,-13.0,84.5,,,29.0,29,0.0
13,79,79,0.0,0.0,,,,29.0,29,
14,111,111,0.0,0.0,,,,29.0,29,
15,77,151,1.5,0.0,4.5,,,29.0,29,0.0
16,139,200,39.0,0.0,3042.0,,,29.0,29,0.0
17,72,72,0.0,0.0,,,,29.0,29,
18,139,199,39.5,0.0,3120.5,,,29.0,29,0.0
19,67,130,0.0,-4.0,8.0,,,29.0,29,0.0
20,104,104,0.0,0.0,,,,29.0,29,
21,111,111,0.0,0.0,,,,29.0,29,
22,91,162,10.0,0.0,200.0,,,29.0,29,0.0
23,126,126,0.0,0.0,,,,29.0,29,
24,91,180,1.0,0.0,2.0,,,29.0,29,0.0
25,146,146,0.0,0.0,,,,29.0,29,
26,119,186,26.0,0.0,1352.0,,,29.0,29,0.0
27,98,181,0.0,-15.0,112.5,,,29.0,29,0.0
28,79,79,0.0,0.0,,,,29.0,29,
29,60,117,1.5,0.0,4.5,,,29.0,29,0.0
30,57,395,0.3333333333333333,-0.25,0.28571428571428575,0.3741657386773782,-2.8000000000000123,30.0,30,0.0
31,58,58,0.0,0.0,,,,30.0,30,
32,113,172,27.0,0.0,1458.0,,,31.0,31,0.0
33,186,245,63.5,0.0,8064.5,,,30.5,31,0.5
34,119,199,0.0,-39.0,760.5,,,31.0,31,0.0
35,194,257,65.5,0.0,8580.5,,,31.0,31,0.0
36,137,195,0.0,-79.0,3120.5,,,31.0,31,0.0
37,100,171,14.5,0.0,420.5,,,31.0,31,0.0
38,196,196,0.0,0.0,,,,31.0,31,
39,155,287,0.0,-23.0,264.5,,,31.0,31,0.0
40,138,259,41.0,-73.0,2022.3333333333333,1.654332126860299,,31.0,31,0.0
41,246,449,83.5,-122.0,7466.333333333334,1.218742948452483,,31.0,31,0.0
42,126,195,0.0,-57.0,1624.5,,,31.0,31,0.0
43,133,190,38.0,0.0,2888.0,,,31.0,31,0.0
44,67,132,1.0,0.0,2.0,,,31.0,31,0.0
45,149,216,0.0,-82.0,3362.0,,,31.0,31,0.0
46,146,204,44.0,0.0,3872.0,,,31.0,31,0.0
47,84,84,0.0,0.0,,,,31.0,31,
48,60,462,1.0,-0.8,1.6428571428571428,0.6105830850825604,-0.0211720226843104,31.0,31,0.0
49,56,168,0.0,0.0,0.0,0.0,,31.0,31,0.0
50,63,63,0.0,0.0,,,,32.0,32,
51,95,175,0.0,-15.0,112.5,,,31.5,32,0.5
52,77,77,0.0,0.0,,,,32.0,32,
53,122,122,0.0,0.0,,,,31.0,31,
54,84,152,0.0,-16.0,128.0,,,31.5,32,0.5
55,81,81,0.0,0.0,,,,32.0,32,
56,63,63,0.0,0.0,,,,32.0,32,
57,66,66,0.0,0.0,,,,31.0,31,
58,98,174,0.0,-22.0,242.0,,,32.0,32,0.0
59,102,102,0.0,0.0,,,,32.0,32,
60,72,72,0.0,0.0,,,,32.0,32,
61,127,127,0.0,0.0,,,,32.0,32,
62,109,178,20.0,0.0,800.0,,,32.0,32,0.0
63,129,129,0.0,0.0,,,,32.0,32,
64,115,210,10.0,0.0,200.0,,,32.0,32,0.0
65,56,56,0.0,0.0,,,,32.0,32,
66,75,75,0.0,0.0,,,,32.0,32,
67,74,74,0.0,0.0,,,,32.0,32,
68,87,87,0.0,0.0,,,,32.0,32,
69,79,142,8.0,0.0,128.0,,,32.0,32,0.0
70,97,97,0.0,0.0,,,,32.0,32,
71,81,81,0.0,0.0,,,,32.0,32,
72,79,79,0.0,0.0,,,,32.0,32,
73,84,84,0.0,0.0,,,,32.0,32,
74,75,75,0.0,0.0,,,,32.0,32,
75,90,90,0.0,0.0,,,,32.0,32,
76,97,155,0.0,-39.0,760.5,,,32.0,32,0.0
77,101,601,4.571428571428571,0.0,122.14285714285715,-0.31094329925240244,-0.5720978078725079,32.57142857142857,33,0.28571428571428575
78,61,654,0.2,-0.5,1.2727272727272727,-0.11818736805705161,-1.3057823129251704,33.0,33,0.0
79,58,171,0.6666666666666666,0.0,1.0,0.0,,33.0,33,0.0
80,57,57,0.0,0.0,,,,32.0,32,
81,97,330,13.5,-12.5,183.0,0.14865214629031845,-4.940547642509481,32.0,32,0.0
82,107,257,18.0,-28.0,357.3333333333333,1.3896361387064902,,32.0,32,0.0
83,146,209,0.0,-83.0,3444.5,,,32.5,33,0.5
84,97,183,0.0,-11.0,60.5,,,32.5,33,0.5
85,68,68,0.0,0.0,,,,33.0,33,
86,116,231,0.0,-1.0,0.5,,,33.0,33,0.0
87,148,148,0.0,0.0,,,,33.0,33,
88,126,126,0.0,0.0,,,,33.0,33,
89,57,57,0.0,0.0,,,,30.0,30,
90,56,56,0.0,0.0,,,,30.0,30,
91,58,58,0.0,0.0,,,,30.0,30,
92,56,56,0.0,0.0,,,,30.0,30,
93,61,61,0.0,0.0,,,,30.0,30,
94,62,62,0.0,0.0,,,,30.0,30,
95,65,65,0.0,0.0,,,,30.0,30,
96,63,63,0.0,0.0,,,,30.0,30,
97,63,63,0.0,0.0,,,,30.0,30,
98,61,61,0.0,0.0,,,,30.0,30,
99,61,61,0.0,0.0,,,,30.0,30,
100,64,64,0.0,0.0,,,,30.0,30,
101,67,67,0.0,0.0,,,,30.0,30,
102,66,66,0.0,0.0,,,,30.0,30,
103,66,66,0.0,0.0,,,,30.0,30,
104,69,69,0.0,0.0,,,,30.0,30,
105,75,75,0.0,0.0,,,,30.0,30,
106,73,73,0.0,0.0,,,,30.0,30,
107,72,72,0.0,0.0,,,,30.0,30,
108,72,72,0.0,0.0,,,,30.0,30,
109,67,127,0.0,-7.0,24.5,,,31.0,31,0.0
110,73,73,0.0,0.0,,,,31.0,31,
111,65,125,0.0,-5.0,12.5,,,31.0,31,0.0
112,71,71,0.0,0.0,,,,31.0,31,
113,64,125,1.5,0.0,4.5,,,31.0,31,0.0
114,74,74,0.0,0.0,,,,31.0,31,
115,67,127,3.5,0.0,24.5,,,31.0,31,0.0
116,67,67,0.0,0.0,,,,31.0,31,
117,65,65,0.0,0.0,,,,31.0,31,
118,67,67,0.0,0.0,,,,31.0,31,
119,71,71,0.0,0.0,,,,31.0,31,
120,68,68,0.0,0.0,,,,31.0,31,
121,67,67,0.0,0.0,,,,31.0,31,
122,63,63,0.0,0.0,,,,31.0,31,
123,65,65,0.0,0.0,,,,31.0,31,
124,65,65,0.0,0.0,,,,31.0,31,
125,67,67,0.0,0.0,,,,31.0,31,
126,69,127,0.0,-11.0,60.5,,,31.0,31,0.0
127,70,70,0.0,0.0,,,,31.0,31,
128,60,118,1.0,0.0,2.0,,,31.0,31,0.0
129,68,68,0.0,0.0,,,,31.0,31,
130,61,117,0.0,-5.0,12.5,,,31.0,31,0.0
131,65,65,0.0,0.0,,,,31.0,31,
132,62,119,0.0,-5.0,12.5,,,31.0,31,0.0
133,67,67,0.0,0.0,,,,31.0,31,
134,61,119,0.0,-3.0,4.5,,,31.0,31,0.0
135,60,60,0.0,0.0,,,,31.0,31,
136,59,59,0.0,0.0,,,,31.0,31,
137,65,65,0.0,0.0,,,,31.0,31,
138,58,114,1.0,0.0,2.0,,,31.0,31,0.0
139,67,67,0.0,0.0,,,,31.0,31,
140,62,120,2.0,0.0,8.0,,,31.0,31,0.0
141,69,69,0.0,0.0,,,,31.0,31,
142,66,123,4.5,0.0,40.5,,,31.0,31,0.0
143,70,70,0.0,0.0,,,,31.0,31,
144,61,122,0.0,0.0,0.0,,,31.0,31,0.0
145,69,69,0.0,0.0,,,,31.0,31,
146,61,117,0.0,-5.0,12.5,,,31.0,31,0.0
147,69,69,0.0,0.0,,,,31.0,31,
148,71,71,0.0,0.0,,,,31.0,31,
149,68,127,4.5,0.0,40.5,,,31.0,31,0.0
150,71,71,0.0,0.0,,,,31.0,31,
151,74,74,0.0,0.0,,,,31.0,31,
152,61,61,0.0,0.0,,,,31.0,31,
153,69,69,0.0,0.0,,,,31.0,31,
154,63,121,2.5,0.0,12.5,,,31.0,31,0.0
155,69,69,0.0,0.0,,,,31.0,31,
156,68,68,0.0,0.0,,,,31.0,31,
157,68,68,0.0,0.0,,,,31.0,31,
158,71,71,0.0,0.0,,,,31.0,31,
159,70,70,0.0,0.0,,,,31.0,31,
160,67,123,5.5,0.0,60.5,,,31.0,31,0.0
161,67,67,0.0,0.0,,,,31.0,31,
162,69,69,0.0,0.0,,,,31.0,31,
163,67,67,0.0,0.0,,,,32.0,32,
164,67,67,0.0,0.0,,,,32.0,32,
165,69,69,0.0,0.0,,,,32.0,32,
166,66,122,5.0,0.0,50.0,,,32.0,32,0.0
167,79,79,0.0,0.0,,,,32.0,32,
168,71,71,0.0,0.0,,,,32.0,32,
169,72,72,0.0,0.0,,,,32.0,32,
170,71,71,0.0,0.0,,,,32.0,32,
171,64,120,4.0,0.0,32.0,,,32.0,32,0.0
172,67,67,0.0,0.0,,,,32.0,32,
173,65,65,0.0,0.0,,,,32.0,32,
174,61,61,0.0,0.0,,,,32.0,32,
175,63,63,0.0,0.0,,,,32.0,32,
176,60,60,0.0,0.0,,,,32.0,32,
177,61,61,0.0,0.0,,,,32.0,32,
178,61,61,0.0,0.0,,,,32.0,32,
179,58,58,0.0,0.0,,,,32.0,32,
180,56,56,0.0,0.0,,,,32.0,32,
181,203,989,19.25,-58.5,2269.366666666667,-1.1999788481862128,-0.16944011375654444,33.5,34,0.3
182,83,356,0.0,-6.5,105.19999999999999,-0.31723660201225784,-0.7644139715768619,33.0,33,0.0
183,61,61,0.0,0.0,,,,33.0,33,
184,64,125,0.0,-3.0,4.5,,,33.0,33,0.0
185,59,116,1.0,0.0,2.0,,,33.0,33,0.0
186,138,221,27.5,0.0,1512.5,,,33.0,33,0.0
187,95,159,15.5,0.0,480.5,,,33.0,33,0.0
188,98,98,0.0,0.0,,,,33.0,33,
189,87,87,0.0,0.0,,,,33.0,33,
190,114,114,0.0,0.0,,,,33.0,33,
191,58,58,0.0,0.0,,,,29.0,29,
192,63,119,3.5,0.0,24.5,,,29.0,29,0.0
193,67,125,4.5,0.0,40.5,,,29.0,29,0.0
194,71,1366,2.2,-0.875,9.347619047619046,-0.7110323117896459,1.8176352884149503,29.952380952380953,30,0.0476190476190476
195,62,123,0.5,0.0,0.5,,,30.0,30,0.0
196,61,61,0.0,0.0,,,,30.0,30,
197,110,1191,5.666666666666667,-3.923076923076923,308.52916666666664,1.0082525569352712,-0.48846190565313075,30.0,30,0.0
198,69,195,4.0,-4.0,16.0,0.0,,30.0,30,0.0
199,59,59,0.0,0.0,,,,30.0,30,
200,96,173,9.5,0.0,180.5,,,30.0,30,0.0
201,76,137,0.0,-15.0,112.5,,,30.0,30,0.0
202,122,184,0.0,-60.0,1800.0,,,30.0,30,0.0
203,94,94,0.0,0.0,,,,30.0,30,
204,58,58,0.0,0.0,,,,30.0,30,
205,115,115,0.0,0.0,,,,30.0,30,
206,114,114,0.0,0.0,,,,30.0,30,
207,84,84,0.0,0.0,,,,30.0,30,
208,139,139,0.0,0.0,,,,31.0,31,
