step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,9893,1063064,0.2584378518499123,-273.47222222222223,34790.088971194906,51.22660883400376,2680.0485964034833,16.5192403275172,77,228.42831054096982
2,6,102,0.0,0.0,0.0,0.0,0.0,-18.0,-18,0.0
3,9893,484979,0.9155007875474844,-13.196524064171124,75946.57203440316,35.631183274377925,1270.9900450550167,-1711.5803656528897,58,242762288.60890046
4,39,580,10.0,-0.5333333333333333,18.11029411764706,-3.0368866084200388,11.076350378855713,24.0,24,0.0
5,24,43,2.5,0.0,12.5,,,24.0,24,0.0
6,14,14,0.0,0.0,,,,24.0,24,
7,52,3782,2.466666666666667,-0.2235294117647059,48.63393939393941,0.196457266295509,0.4694166044218968,24.0,24,0.0
8,140,26233,1.3608247422680413,-0.16012084592145015,36.27807036755072,12.900952203201124,208.026315535178,28.677206851119895,40,48.538147333145616
9,76,527,1.75,-4.5,53.267857142857146,0.2502827633643749,-1.4875213875386608,33.0,33,0.0
10,64,806,1.5,-0.4444444444444444,3.3333333333333335,-1.3593478018082759,0.7385454545454544,33.0,33,0.0
11,59,59,0.0,0.0,,,,33.0,33,
12,63,182,2.5,-2.0,6.333333333333333,-0.5855827262813795,,33.0,33,0.0
13,58,115,0.0,-1.0,0.5,,,33.0,33,0.0
14,155,1637,14.333333333333334,-7.0,597.0815789473684,1.6335413722138084,3.107023350952594,33.0,33,0.0
15,79,406,5.0,-7.333333333333333,62.26666666666667,0.15603540607975447,-0.6644420397177315,33.0,33,0.0
16,81,612,7.333333333333333,-3.3333333333333335,50.0,0.6818529675727423,-0.1905714285714284,33.0,33,0.0
17,278,1584,35.333333333333336,-68.66666666666667,6035.75,-0.29197880987208236,-1.419556100438307,33.0,33,0.0
18,60,120,0.0,0.0,0.0,,,33.0,33,0.0
19,128,186,35.0,0.0,2450.0,,,33.0,33,0.0
20,89,153,0.0,-25.0,312.5,,,33.0,33,0.0
21,91,159,11.5,0.0,264.5,,,33.0,33,0.0
22,120,120,0.0,0.0,,,,33.0,33,
23,102,191,0.0,-13.0,84.5,,,33.0,33,0.0
24,93,164,11.0,0.0,242.0,,,33.0,33,0.0
25,161,239,0.0,-83.0,3444.5,,,33.0,33,0.0
26,67,132,0.0,-2.0,2.0,,,33.0,33,0.0
27,102,183,0.0,-21.0,220.5,,,33.0,33,0.0
28,85,152,9.0,0.0,162.0,,,33.0,33,0.0
29,144,211,38.5,0.0,2964.5,,,33.0,33,0.0
30,63,125,0.0,-1.0,0.5,,,33.0,33,0.0
31,291,1462,33.57142857142857,-74.5,10176.02777777778,0.4049224157977608,-1.8467546359626992,33.0,33,0.0
32,338,1487,93.66666666666667,-56.4,14415.55357142857,0.1303685134168799,-1.917702759399933,33.0,33,0.0
33,57,57,0.0,0.0,,,,33.0,33,
34,61,291,2.0,-1.3333333333333333,2.6999999999999997,1.735581766580148,3.25102880658433,34.0,34,0.0
35,56,56,0.0,0.0,,,,34.0,34,
36,74,321,4.0,-8.0,38.199999999999996,1.174081328721379,1.2857377813108162,34.0,34,0.0
37,62,121,1.5,0.0,4.5,,,34.0,34,0.0
38,60,176,1.5,-1.0,2.333333333333333,-0.9352195295828106,,34.0,34,0.0
39,58,114,1.0,0.0,2.0,,,34.0,34,0.0
40,70,138,1.0,0.0,2.0,,,34.0,34,0.0
41,82,349,8.666666666666666,-9.5,123.2,-0.021719028118552346,-2.1203907699443416,34.0,34,0.0
42,63,244,2.5,-1.5,6.0,-0.5443310539518172,-2.9444444444444446,34.0,34,0.0
43,61,177,1.5,-3.0,3.0,1.7320508075688774,,34.0,34,0.0
44,62,62,0.0,0.0,,,,34.0,34,
45,159,395,30.333333333333332,-94.0,1910.9166666666667,1.2072437836124659,0.5296685258015934,34.0,34,0.0
46,111,185,18.5,0.0,684.5,,,34.0,34,0.0
47,107,107,0.0,0.0,,,,34.0,34,
48,109,213,0.0,-5.0,12.5,,,34.0,34,0.0
49,108,177,0.0,-39.0,760.5,,,34.0,34,0.0
50,77,146,0.0,-8.0,32.0,,,34.0,34,0.0
51,122,122,0.0,0.0,,,,34.0,34,
52,82,141,0.0,-23.0,264.5,,,34.0,34,0.0
53,124,329,21.0,-66.0,932.25,1.1469241936679115,0.2622515891441335,33.0,33,0.0
54,209,1404,48.0,-15.166666666666666,1930.0,-1.0546396116539452,1.3780725657064625,32.44444444444444,33,0.2777777777777778
55,103,836,15.0,-3.6666666666666665,218.8611111111111,-2.018587325460367,4.004836906327068,32.0,32,0.0
56,211,817,31.5,-37.0,2264.2999999999997,-0.18253957777516286,-1.526306442668603,32.0,32,0.0
57,132,673,2.5,-11.0,297.3666666666667,-0.2852897106700018,-1.6442143363533477,32.0,32,0.0
58,102,561,5.8,-4.0,114.7,-1.858003945104239,3.5515491304787368,31.666666666666668,32,0.26666666666666666
59,189,407,43.666666666666664,-122.0,3603.5833333333335,1.6574726022813364,2.6917247316946273,30.0,30,0.0
60,179,179,0.0,0.0,,,,30.0,30,
61,174,267,40.5,0.0,3280.5,,,30.0,30,0.0
62,179,266,0.0,-92.0,4232.0,,,30.0,30,0.0
63,188,267,54.5,0.0,5940.5,,,30.0,30,0.0
64,160,160,0.0,0.0,,,,30.0,30,
65,136,249,0.0,-23.0,264.5,,,30.0,30,0.0
66,176,252,50.0,0.0,5000.0,,,30.0,30,0.0
67,195,255,0.0,-135.0,9112.5,,,30.0,30,0.0
68,176,260,46.0,0.0,4232.0,,,30.0,30,0.0
69,141,272,5.0,0.0,50.0,,,30.0,30,0.0
70,217,294,70.0,0.0,9800.0,,,30.0,30,0.0
71,205,264,73.0,0.0,10658.0,,,30.0,30,0.0
72,132,258,3.0,0.0,18.0,,,30.0,30,0.0
73,189,248,65.0,0.0,8450.0,,,30.0,30,0.0
74,176,288,0.0,-64.0,2048.0,,,30.0,30,0.0
75,182,182,0.0,0.0,,,,30.0,30,
76,169,265,36.5,0.0,2664.5,,,30.0,30,0.0
77,187,274,0.0,-100.0,5000.0,,,30.5,31,0.5
78,145,145,0.0,0.0,,,,31.0,31,
79,73,73,0.0,0.0,,,,31.0,31,
80,95,187,0.0,-3.0,4.5,,,31.0,31,0.0
81,77,138,0.0,-16.0,128.0,,,32.0,32,0.0
82,77,136,9.0,0.0,162.0,,,32.0,32,0.0
83,85,233,6.5,-9.0,44.333333333333336,1.0558318939643045,,32.0,32,0.0
84,107,1546,19.0,-3.1875,151.7516339869281,-0.5634993049368574,1.1097872558947781,32.0,32,0.0
85,64,64,0.0,0.0,,,,32.0,32,
86,202,292,56.0,0.0,6272.0,,,32.0,32,0.0
87,219,300,69.0,0.0,9522.0,,,32.0,32,0.0
88,217,301,0.0,-133.0,8844.5,,,32.0,32,0.0
89,205,284,63.0,0.0,7938.0,,,32.0,32,0.0
90,225,225,0.0,0.0,,,,32.0,32,
91,175,316,17.0,0.0,578.0,,,32.0,32,0.0
92,221,277,82.5,0.0,13612.5,,,32.0,32,0.0
93,203,318,0.0,-88.0,3872.0,,,32.0,32,0.0
94,216,352,71.5,-153.0,7326.333333333332,1.7054920314522601,,32.0,32,0.0
95,312,553,93.5,-196.0,12244.333333333334,1.7191693936416492,,32.0,32,0.0
96,214,287,0.0,-141.0,9940.5,,,32.0,32,0.0
